,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
105,1610737171-785,https://www.wblivesurf.com/reports/page/615/,01.14.2008,Swell Size: Shin/Knee/Bigger?,3:48 PM / BY: sageisland,Water Surface: Glassy,0.5
106,1610737356-1559,https://www.wblivesurf.com/reports/page/567/,07.08.2008,Swell Size: Knee/Thigh/Occ. Bigger,6:23 AM / BY: sageisland,Water Surface: Semi-Glass,0.5
107,1610737739-3713,https://www.wblivesurf.com/reports/page/432/,04.23.2013,Swell Size: Thigh/Waist/Occ. Bigger,6:55 AM / BY: sageisland,Water Surface: Pretty Clean/Light Texture,2.0
108,1610738559-7424,https://www.wblivesurf.com/reports/page/200/,10.01.2018,Swell Size: Waist,12:39 PM / BY: surfreports,Water Surface: Bumpy,0.5
109,1610737834-4261,https://www.wblivesurf.com/reports/page/398/,07.04.2014,Swell Size: Thigh/Waist High,12:58 PM / BY: sageisland,Water Surface: Clean,2.5
110,1610737570-2722,https://www.wblivesurf.com/reports/page/494/,03.02.2010,Swell Size: Thigh/Waist/Occ. Bigger,4:23 PM / BY: sageisland,Water Surface: Semi-Clean/Light Bump,1.0
111,1610737405-1821,https://www.wblivesurf.com/reports/page/550/,09.19.2008,Swell Size: Stomach - Chest/ Bigger Sets,3:58 PM / BY: sageisland,Water Surface: Choppy/Clean Faces,1.5
112,1610737597-2888,https://www.wblivesurf.com/reports/page/484/,11.12.2010,Swell Size: Stomach/Shoulder/Bigger Sets,12:27 PM / BY: sageisland,Water Surface: Choppy/Semi-Clean,1.5
113,1610738293-6497,https://www.wblivesurf.com/reports/page/258/,02.02.2018,Swell Size: Knee/Rare Thigh,7:17 AM / BY: surfreports,Water Surface: Semi-Clean,0.5
114,1610737486-2228,https://www.wblivesurf.com/reports/page/525/,04.02.2009,Swell Size: Waist/Chest High/Occ. Bigger,12:58 PM / BY: sageisland,Water Surface: Light Chop,1.5
115,1610737400-1801,https://www.wblivesurf.com/reports/page/552/,09.11.2008,Swell Size: Knee - Thigh High,12:56 PM / BY: sageisland,Water Surface: Light Chop,0.5
116,1610737100-371,https://www.wblivesurf.com/reports/page/641/,10.02.2007,Swell Size: Chest/Occ. Head,12:26 PM / BY: sageisland,Water Surface: Choppy,1.0
117,1610738114-5665,https://www.wblivesurf.com/reports/page/310/,09.24.2016,Swell Size: Thigh/Occ. Hip/Waist,7:21 AM / BY: sageisland,Water Surface: Semi-Clean,1.0
118,1610737806-4096,https://www.wblivesurf.com/reports/page/408/,11.17.2013,Swell Size: Thigh/Waist/Occ. Stomach,3:31 PM / BY: sageisland,Water Surface: Light Bump,2.0
